source,category,text,sentiment,score
Detik,Otomotif,"Industri Otomotif Diusulkan Dapat Insentif, Harga Mobil Diatur Pemerintah",Netral,0.5341544151306152
Detik,Ekonomi,Pemerintah Siapkan Bantuan Untuk Peternak Terdampak Bencana Sumatera,Netral,0.5273997783660889
Detik,Hiburan,"Video: Banyak Ternak Mati, Mualem Minta Pemerintah Impor Sapi saat Ramadan",Netral,0.5328494310379028
Kompas,Politik,"Mendagri Lepas Praja IPDN, Bantu Percepat Pemulihan Pemerintahan dan Layanan Publik di Aceh Tamiang",Netral,0.531380295753479
Tribunnews,Ekonomi,Bulog Bisa Jual Beras SPHP Satu Harga Jika Pemerintah Naikkan Margin Fee,Netral,0.5459069013595581
Tribunnews,Ekonomi,Pemerintah Kembangkan Kawasan Industri Tematik untuk Dorong Pertumbuhan Ekonomi,Netral,0.5244966149330139
Republika,Politik,"Soal Sikap Politik PDIP Ke Pemerintahan, Megawati: Gue Mainin Dulu Dong",Netral,0.5397449731826782
Republika,Ekonomi,Pemerintah Tegaskan APBN Tetap Jadi Penyangga Ekonomi Di Awal 2026,Netral,0.5340920686721802
Republika,Ekonomi,Pemerintah Anggarkan Rp6 Triliun Untuk Pembangunan IKN 2026,Netral,0.532348096370697
Republika,Ekonomi,Pemerintah Salurkan Dana Tunggu Hunian Untuk Warga Pidie Jaya,Netral,0.5333857536315918
Republika,Teknologi,"Ribuan Desa Belum Terkoneksi Internet, Pemerintah Luncurkan Program Kampung Internet",Netral,0.5334739089012146
Republika,Teknologi,Influencer Wajib Bersertifikat? Pemerintah Kaji Kebijakan Ala Cina,Netral,0.5390601754188538
Suara,Hiburan,"Akhirnya Comeback, Fiersa Besari Bawa Lagu Baru hingga Sindir Pemerintah",Netral,0.5356038212776184
Viva,Politik,"Survei Poltracking: Kepercayaan Masyarakat Terhadap Pemerintahan Prabowo-Gibran Tinggi, Angkanya 81,5 Persen",Netral,0.5458155870437622
Viva,Politik,Golkar Puji Satu Tahun Pemerintahan Prabowo-Gibran: Programnya Menyentuh Rakyat,Netral,0.5329757928848267
Antara News,Nasional,"Politik sepekan, soal tugas khusus hingga pemerintah kecam intimidasi",Netral,0.5256764888763428
Antara News,Nasional,Mendagri: Praja IPDN bantu percepat pemulihan pemerintahan di Aceh,Netral,0.5271562337875366
Bisnis.com,Otomotif,"Pemerintahan Prabowo Setop Insentif Mobil Listrik Cs, IESR: Manfaat Ekonomi Rp544 Triliun Hilang",Netral,0.5326690077781677
